article_id,Author,Gender
1165,Самоходская,ж
1166,Сванидзе,ж
1167,Сидоров,м
1168,Уваров,м
1169,Ульмар,ж
1170,Черных,м
1171,"Алтухова, Уваров",—
1172,Анисимова,ж
1173,Бицилли,м
1174,Выбирал,м
1175,Галчева,ж
1176,Гусарова,ж
1177,Добрынина,ж
1178,Захаров,м
1179,Кириллова,ж
1180,Мартышева,ж
1181,Попова,ж
1182,Рыбаков,м
1183,Рябова,ж
1184,Рябова,ж
1185,Рязанов,м
1186,Серегина,ж
1187,Таубер,м
1188,Уваров,м
1189,Флоря,м
1190,Цатурова,ж
1191,Александрова,ж
1192,Анисимова,ж
1193,Арендт,м
1194,"Асейнов, Носова",—
1195,Ауров,м
1196,Белан,м
1197,Бойцов,м
1198,Габдрахманов,м
1199,Глебов,м
1200,Золотарев,м
1201,Игина,ж
1202,Казбекова,ж
1203,Калмыкова,ж
1204,Коновалова,ж
1205,Майзлиш,ж
1206,Майзлиш,ж
1207,Попова,ж
1208,Самсонова,ж
1209,Солодовникова,ж
1210,Уваров,м
1211,Уваров,м
1212,Цатурова,ж
1213,Цатурова,ж
1214,Черных,м
1215,Юсим,м
1216,Алтухова,ж
1217,Антощенко,м
1218,Бобкова,ж
1219,Бондаренко,м
1220,Дубровский,м
1221,Еманов,м
1222,Захаров,м
1223,Земляков,м
1224,Извеков,м
1225,Караваева,ж
1226,Караулова,ж
1227,Кудрявцев,м
1228,Осипян,м
1229,Прокопьев,м
1230,Редколлегия,—
1231,Редколлегия,—
1232,Русанов,м
1233,Рыбаков,м
1234,Рыбаков,м
1235,Рыбина,ж
1236,Рязанов,м
1237,Сидорова,ж
1238,Таубер,м
1239,Таценко,ж
1240,Филиппов,м
1241,Яценко,ж
1242,Анисимова,ж
1243,Ануфриева,ж
1244,Асейнов,м
1245,Бергер,ж
1246,Блокманс,м
1247,Бойцов,м
1248,Ведюшкин,м
1249,Гревс,м
1250,Калмыкова,ж
1251,Клюев,м
1252,Конявская,ж
1253,Крылова,ж
1254,Кудрявцев,м
1255,Курышева,ж
1256,Лапшина,ж
1257,Маркова,ж
1258,Мельникова,ж
1259,Потехина,ж
1260,Редколлегия,—
1261,Редколлегия,—
1262,Репина,ж
1263,Рылько,ж
1264,Рябова,ж
1265,Самотовинский,м
1266,Сидоров,м
1267,Филиппов,м
1268,Цатурова,ж
1269,Шамаро,м
1270,Бельцер,м
1271,Бойцов,м
1272,Винокурова,ж
1273,Гузенкова,ж
1274,Долгополов,м
1275,Каганович,м
1276,Климанов,м
1277,Курышева,ж
1278,"Носова, Майзлиш",—
1279,Осипян,м
1280,Рябова,ж
1281,Сергеев,м
1282,Сидоренко,м
1283,Сидоров,м
1284,Уваров,м
1285,Уваров,м
1286,Флоря,м
1287,Хачатурян,ж
1288,Шатохина-Мордвинцева,ж
1289,Шишкин,м
1290,Шукуров,м
1291,Ауров,м
1292,Варьяш,ж
1293,Долгополов,м
1294,Домнина,ж
1295,Земляков,м
1296,Казбекова,ж
1297,Каранчев,м
